RESUME: 31/116 trials done — continuing...

Hyperparameter Tuning — SVD Arm D
  Dataset:  movielens-20m
  Arm:      Joint Positive-Negative SVD (binary targets)
  Label:    pos_ge_3_neg_le_2
  Trials:   116
  Engine:   Optuna TPE
  Output:   outputs/movielens/ml-20m/tuning/arm_d/pos_ge_3_neg_le_2/best_params.json

  Preparing training data (once)...
  Joint train: 16,239,577 positives + 2,594,130 negatives = 18,833,707 rows

  Preparing candidate cache (once)...
    Candidate cache loaded  (5,000 users) ← candidates_n500_u5000_s42.parquet
    Evaluation users: 5,000

  Resuming Optuna study (31/116 trials done)
  [32/116] nDCG@10=0.0265  best=0.1623  trial_time=9938.8s  ETA=231.90h
  [36/116] nDCG@10=0.1228  best=0.1952  trial_time=4100.6s  ETA=155.99h
  [38/116] nDCG@10=0.0000  best=0.1952  trial_time=1375.1s  ETA=111.33h
  [41/116] nDCG@10=0.0292  best=0.1952  trial_time=1306.2s  ETA=87.09h
  [43/116] nDCG@10=0.1952  best=0.1952  trial_time=1303.5s  ETA=73.10h
  [45/116] nDCG@10=0.1952  best=0.1952  trial_time=1320.4s  ETA=63.59h
  [47/116] nDCG@10=0.1938  best=0.1952  trial_time=1209.2s  ETA=56.28h
  [49/116] nDCG@10=0.0162  best=0.1952  trial_time=1373.3s  ETA=51.01h
  [51/116] nDCG@10=0.0022  best=0.1952  trial_time=1319.9s  ETA=46.64h
  [53/116] nDCG@10=0.1952  best=0.1952  trial_time=1327.0s  ETA=43.00h
  [54/116] nDCG@10=0.1952  best=0.1952  trial_time=1283.3s  ETA=40.48h
  [57/116] nDCG@10=0.1464  best=0.1952  trial_time=3113.8s  ETA=39.57h
  [59/116] nDCG@10=0.1188  best=0.1952  trial_time=2502.4s  ETA=38.33h
  [60/116] nDCG@10=0.2485  best=0.2485  trial_time=947.0s  ETA=36.02h
  [62/116] nDCG@10=0.2485  best=0.2485  trial_time=979.8s  ETA=33.40h
  [64/116] nDCG@10=0.2485  best=0.2485  trial_time=960.0s  ETA=31.02h
  [66/116] nDCG@10=0.2485  best=0.2485  trial_time=1004.2s  ETA=28.89h
  [68/116] nDCG@10=0.2485  best=0.2485  trial_time=1023.7s  ETA=26.95h
  [70/116] nDCG@10=0.1308  best=0.2485  trial_time=1600.3s  ETA=25.55h
  [72/116] nDCG@10=0.2485  best=0.2485  trial_time=992.1s  ETA=23.82h
